city,country,lat,lon,season_aegypti_1991_2020,season_albopictus_1991_2020,season_aegypti_1961_1990,season_albopictus_1961_1990,delta_aegypti,delta_albopictus,abs_lat,temp_mean_c
San José,Costa Rica,9.9325,-84.08,4,12,1,12,3,0,9.9325,18.185
San Juan,Puerto Rico,18.3985,-66.061,12,12,12,12,0,0,18.3985,26.041666666666668
San Luis Potosí,Mexico,22.1511,-100.9761,5,6,2,6,3,0,22.1511,17.078333333333333
San Miguel de Tucumán,Argentina,-26.8167,-65.2167,6,5,6,5,0,0,26.8167,17.786666666666665
San Pedro Sula,Honduras,15.5062,-88.0249,12,12,12,12,0,0,15.5062,24.423333333333332
San Salvador,El Salvador,13.6989,-89.1914,12,12,12,12,0,0,13.6989,25.455833333333334
Sanaa,Yemen,15.3483,44.2064,5,9,2,8,3,1,15.3483,18.1375
Sangereng,Indonesia,-6.2889,106.7181,12,12,12,12,0,0,6.2889,26.949166666666667
Sanhe,China,40.0167,117.0833,5,4,5,4,0,0,40.0167,12.955
Sanmenxia,China,34.7732,111.2004,5,4,3,4,2,0,34.7732,12.880833333333333
Sanming,China,26.2634,117.6389,7,5,6,5,1,0,26.2634,19.043333333333333
Santa Cruz,Spain,28.4667,-16.25,6,5,6,5,0,0,28.4667,18.953333333333333
Santa Cruz de la Sierra,Bolivia,-17.7892,-63.1975,12,12,12,12,0,0,17.7892,23.679166666666664
Santa Marta,Colombia,11.2419,-74.2053,12,12,12,12,0,0,11.2419,26.445833333333336
Santiago,Chile,-33.4372,-70.6506,4,4,4,4,0,0,33.4372,15.5675
Santiago,Dominican Republic,19.4572,-70.6889,12,12,12,12,0,0,19.4572,24.66416666666667
Santiago del Estero,Argentina,-27.7833,-64.2667,8,5,8,5,0,0,27.7833,21.85166666666667
Santo André,Brazil,-23.6533,-46.528,7,7,7,7,0,0,23.6533,20.1225
Santo Domingo,Dominican Republic,18.4764,-69.8933,12,12,12,12,0,0,18.4764,25.2925
Santo Domingo Este,Dominican Republic,18.4855,-69.8734,12,12,12,12,0,0,18.4855,26.041666666666668
Sanya,China,18.2533,109.5036,12,12,12,12,0,0,18.2533,24.963333333333335
Sanzhou,China,30.82,108.4,5,4,5,4,0,0,30.82,17.396666666666665
Sapporo,Japan,43.0619,141.3544,2,3,2,2,0,1,43.0619,6.964166666666666
Saratov,Russia,51.53,46.035,3,4,3,4,0,0,51.53,6.7175
Sargodha,Pakistan,32.0836,72.6711,7,1,7,1,0,0,32.0836,24.43166666666667
Seattle,United States,47.6211,-122.3244,2,3,0,3,2,0,47.6211,11.347499999999998
Seberang Jaya,Malaysia,5.3909,100.4104,12,12,12,12,0,0,5.3909,27.6375
Selçuklu,Turkey,37.8814,32.4922,3,4,2,3,1,1,37.8814,12.023333333333333
Semarang,Indonesia,-6.99,110.4225,12,12,12,12,0,0,6.99,26.97083333333333
Sendai,Japan,38.2682,140.8694,4,3,3,3,1,0,38.2682,11.64
