species,lat,lon,year,country_name,iso3,source_type,location_type,source,is_point
Ae. aegypti,25.31,83.01,1967,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,27.51,-99.49,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,27.96,-82.46,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,28.56,-81.37,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.66,-82.34,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.75,-95.35,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.88,-97.95,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,30.69,-88.05,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,31.21,-82.37,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,31.55,-97.14,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,31.76,-95.63,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.37,-88.71,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.38,-88.71,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,33.22,-87.58,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,33.47,-81.99,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,34.0,-81.04,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,34.19,-79.78,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,34.85,-82.41,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,34.95,-81.93,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-8.52,140.42,1968,Indonesia,IDN,unpublished,,Kraemer et al. 2015/2017,False
Ae. aegypti,-8.48,140.39,1968,Indonesia,IDN,unpublished,,Kraemer et al. 2015/2017,False
Ae. aegypti,-6.75,39.28,1968,United Republic of Tanzania,TZA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-2.57,140.51,1968,Indonesia,IDN,unpublished,,Kraemer et al. 2015/2017,False
Ae. aegypti,-1.19,136.11,1968,Indonesia,IDN,unpublished,,Kraemer et al. 2015/2017,False
Ae. aegypti,-1.18,136.08,1968,Indonesia,IDN,unpublished,,Kraemer et al. 2015/2017,False
Ae. aegypti,-0.89,134.05,1968,Indonesia,IDN,unpublished,,Kraemer et al. 2015/2017,False
Ae. aegypti,-0.89,131.29,1968,Indonesia,IDN,unpublished,,Kraemer et al. 2015/2017,False
Ae. aegypti,1.28,103.84,1968,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.28,103.83,1968,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.28,103.83,1968,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.28,103.85,1968,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.29,103.82,1968,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.3,103.86,1968,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.32,103.88,1968,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.32,103.86,1968,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.33,103.9,1968,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.33,103.93,1968,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,7.41,3.9,1968,Nigeria,NGA,published,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,13.77,100.5,1968,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.93,100.59,1968,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,15.71,100.14,1968,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.17,-65.96,1968,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.21,-67.14,1968,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.3,-66.25,1968,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.33,-66.41,1968,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.35,-66.32,1968,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
