city_key,city,country,lat,lon,abs_lat,population,elevation_m,lat_zone,story_tag,season_aegypti,season_start_aegypti,season_end_aegypti,cumulative_aegypti,peak_score_aegypti,bimodal_flag_aegypti,suitability_tier_aegypti,season_albopictus,season_start_albopictus,season_end_albopictus,cumulative_albopictus,peak_score_albopictus,bimodal_flag_albopictus,suitability_tier_albopictus,species_divergence,summer_vpd,altitude_suppressed,tropical_hotspot,invasion_front,mediterranean_pattern,year_round_suitability,emerging_suitability_zone,temperate_albopictus_advantage
"Kaiyuan, China",Kaiyuan,China,36.0193,113.86,36.0193,950939,400.0,Subtropics,Emerging Suitability,3,6.0,8.0,2.34,0.712,False,Marginal,4,5.0,8.0,2.938,0.933,False,Seasonal,1,0.723,False,False,False,False,False,True,False
"Buffalo, United States",Buffalo,United States,42.9018,-78.8487,42.9018,949547,195.0,Temperate,Standard,3,6.0,8.0,1.645,0.577,False,Marginal,3,6.0,8.0,2.378,0.812,False,Marginal,0,0.732,False,False,False,False,False,False,False
"Santo Domingo Este, Dominican Republic",Santo Domingo Este,Dominican Republic,18.4855,-69.8734,18.4855,948855,35.0,Tropics,Tropical Hotspot,12,1.0,12.0,10.882,0.998,False,Extended,12,1.0,12.0,10.14,0.917,False,Extended,0,0.667,False,True,False,False,True,False,False
"Vientiane, Laos",Vientiane,Laos,17.98,102.63,17.98,948487,176.0,Tropics,Tropical Hotspot,12,1.0,12.0,9.896,0.996,False,Extended,12,1.0,12.0,8.946,0.905,False,Extended,0,0.63,False,True,False,False,True,False,False
"Kermānshāh, Iran",Kermānshāh,Iran,34.3369,47.0911,34.3369,946651,1324.0,Subtropics,Standard,0,,,0.896,0.285,False,Minimal,2,5.0,6.0,0.871,0.474,False,Marginal,2,2.793,False,False,False,False,False,False,False
"Kibanseke Première, Congo (Kinshasa)",Kibanseke Première,Congo (Kinshasa),-4.4419,15.395,4.4419,946372,412.0,Tropics,Tropical Hotspot,12,1.0,12.0,10.055,0.913,True,Extended,12,1.0,12.0,11.172,0.992,True,Extended,0,0.548,False,True,False,False,True,False,False
"Seberang Jaya, Malaysia",Seberang Jaya,Malaysia,5.3909,100.4104,5.3909,946092,5.0,Tropics,Tropical Hotspot,12,1.0,12.0,11.428,0.996,False,Extended,12,1.0,12.0,9.225,0.816,False,Extended,0,0.744,False,True,False,False,True,False,False
"Sale, Morocco",Sale,Morocco,34.0333,-6.8,34.0333,945101,67.0,Subtropics,Emerging Suitability,6,5.0,10.0,3.745,0.748,False,Seasonal,4,5.0,8.0,3.28,0.927,False,Seasonal,-2,0.738,False,False,False,False,False,True,False
"Hubli, India",Hubli,India,15.3502,75.1376,15.3502,943788,634.0,Tropics,Tropical Hotspot,12,1.0,12.0,7.813,0.824,False,Extended,12,1.0,12.0,9.021,0.982,False,Extended,0,0.471,False,True,False,False,True,False,False
"El Alto, Bolivia",El Alto,Bolivia,-16.5047,-68.1633,16.5047,943000,4095.0,Tropics,Altitude Protected,0,,,0.0,0.0,False,Minimal,0,,,0.0,0.0,False,Minimal,0,0.319,True,False,False,False,False,False,False
